Nodes,3, Interval,1, EverageDelay,139.444301
Nodes,3, Interval,5, EverageDelay,250.496568
Nodes,3, Interval,10, EverageDelay,443.794589
Nodes,3, Interval,15, EverageDelay,730.082937
Nodes,3, Interval,20, EverageDelay,1091.452637
Nodes,3, Interval,25, EverageDelay,1529.06497
Nodes,3, Interval,30, EverageDelay,2041.552346
Nodes,3, Interval,35, EverageDelay,2632.195722
Nodes,3, Interval,40, EverageDelay,3294.623811
Nodes,7, Interval,1, EverageDelay,3436.986631
Nodes,7, Interval,5, EverageDelay,3819.701611
Nodes,7, Interval,10, EverageDelay,4479.662473
Nodes,7, Interval,15, EverageDelay,5227.654644
Nodes,7, Interval,20, EverageDelay,6172.85957
Nodes,7, Interval,25, EverageDelay,7581.877763
Nodes,7, Interval,30, EverageDelay,9242.071386
Nodes,7, Interval,35, EverageDelay,11143.799275
Nodes,7, Interval,40, EverageDelay,13293.500087
Nodes,15, Interval,1, EverageDelay,13432.056709
Nodes,15, Interval,5, EverageDelay,13641.81207
Nodes,15, Interval,10, EverageDelay,14585.35691
Nodes,15, Interval,15, EverageDelay,15502.451271
Nodes,15, Interval,20, EverageDelay,19322.648643
Nodes,15, Interval,25, EverageDelay,22921.54081
Nodes,15, Interval,30, EverageDelay,24534.817332
Nodes,15, Interval,35, EverageDelay,29558.63468
Nodes,15, Interval,40, EverageDelay,34727.740138
